,mesh_cd,geometry,idxmax
51,53392588,"POLYGON ((139.725 35.5666666666667, 139.7375 35.5666666666667, 139.7375 35.575, 139.725 35.575, 139.725 35.5666666666667))",セブンイ
52,53392589,"POLYGON ((139.7375 35.5666666666667, 139.75 35.5666666666667, 139.75 35.575, 139.7375 35.575, 139.7375 35.5666666666667))",セブンイ
53,53392593,"POLYGON ((139.6625 35.575, 139.675 35.575, 139.675 35.5833333333333, 139.6625 35.5833333333333, 139.6625 35.575))",サンクス
54,53392594,"POLYGON ((139.675 35.575, 139.6875 35.575, 139.6875 35.5833333333333, 139.675 35.5833333333333, 139.675 35.575))",セブンイ
55,53392595,"POLYGON ((139.6875 35.575, 139.7 35.575, 139.7 35.5833333333333, 139.6875 35.5833333333333, 139.6875 35.575))",セブンイ
56,53392596,"POLYGON ((139.7 35.575, 139.7125 35.575, 139.7125 35.5833333333333, 139.7 35.5833333333333, 139.7 35.575))",スリーエ
57,53392597,"POLYGON ((139.7125 35.575, 139.725 35.575, 139.725 35.5833333333333, 139.7125 35.5833333333333, 139.7125 35.575))",セブンイ
58,53392598,"POLYGON ((139.725 35.575, 139.7375 35.575, 139.7375 35.5833333333333, 139.725 35.5833333333333, 139.725 35.575))",エーエム
59,53392599,"POLYGON ((139.7375 35.575, 139.75 35.575, 139.75 35.5833333333333, 139.7375 35.5833333333333, 139.7375 35.575))",ローソン
60,53392660,"POLYGON ((139.75 35.55, 139.7625 35.55, 139.7625 35.5583333333333, 139.75 35.5583333333333, 139.75 35.55))",ファミリ
61,53392663,"POLYGON ((139.7875 35.55, 139.8 35.55, 139.8 35.5583333333333, 139.7875 35.5583333333333, 139.7875 35.55))",エーエム
62,53392672,"POLYGON ((139.775 35.5583333333333, 139.7875 35.5583333333333, 139.7875 35.5666666666667, 139.775 35.5666666666667, 139.775 35.5583333333333))",サークル
63,53392681,"POLYGON ((139.7625 35.5666666666667, 139.775 35.5666666666667, 139.775 35.575, 139.7625 35.575, 139.7625 35.5666666666667))",他
64,53392690,"POLYGON ((139.75 35.575, 139.7625 35.575, 139.7625 35.5833333333333, 139.75 35.5833333333333, 139.75 35.575))",サンクス
65,53393219,"POLYGON ((139.3625 35.5916666666667, 139.375 35.5916666666667, 139.375 35.6, 139.3625 35.6, 139.3625 35.5916666666667))",スリーエ
66,53393225,"POLYGON ((139.3125 35.6, 139.325 35.6, 139.325 35.6083333333333, 139.3125 35.6083333333333, 139.3125 35.6))",セブンイ
67,53393226,"POLYGON ((139.325 35.6, 139.3375 35.6, 139.3375 35.6083333333333, 139.325 35.6083333333333, 139.325 35.6))",スリーエ
68,53393227,"POLYGON ((139.3375 35.6, 139.35 35.6, 139.35 35.6083333333333, 139.3375 35.6083333333333, 139.3375 35.6))",ファミリ
69,53393228,"POLYGON ((139.35 35.6, 139.3625 35.6, 139.3625 35.6083333333333, 139.35 35.6083333333333, 139.35 35.6))",セブンイ
70,53393229,"POLYGON ((139.3625 35.6, 139.375 35.6, 139.375 35.6083333333333, 139.3625 35.6083333333333, 139.3625 35.6))",セブンイ
71,53393233,"POLYGON ((139.2875 35.6083333333333, 139.3 35.6083333333333, 139.3 35.6166666666667, 139.2875 35.6166666666667, 139.2875 35.6083333333333))",ローソン
72,53393238,"POLYGON ((139.35 35.6083333333333, 139.3625 35.6083333333333, 139.3625 35.6166666666667, 139.35 35.6166666666667, 139.35 35.6083333333333))",セブンイ
73,53393243,"POLYGON ((139.2875 35.6166666666667, 139.3 35.6166666666667, 139.3 35.625, 139.2875 35.625, 139.2875 35.6166666666667))",セブンイ
74,53393245,"POLYGON ((139.3125 35.6166666666667, 139.325 35.6166666666667, 139.325 35.625, 139.3125 35.625, 139.3125 35.6166666666667))",セブンイ
75,53393249,"POLYGON ((139.3625 35.6166666666667, 139.375 35.6166666666667, 139.375 35.625, 139.3625 35.625, 139.3625 35.6166666666667))",セブンイ
76,53393251,"POLYGON ((139.2625 35.625, 139.275 35.625, 139.275 35.6333333333333, 139.2625 35.6333333333333, 139.2625 35.625))",ファミリ
77,53393255,"POLYGON ((139.3125 35.625, 139.325 35.625, 139.325 35.6333333333333, 139.3125 35.6333333333333, 139.3125 35.625))",セブンイ
78,53393256,"POLYGON ((139.325 35.625, 139.3375 35.625, 139.3375 35.6333333333333, 139.325 35.6333333333333, 139.325 35.625))",スリーエ
79,53393262,"POLYGON ((139.275 35.6333333333333, 139.2875 35.6333333333333, 139.2875 35.6416666666667, 139.275 35.6416666666667, 139.275 35.6333333333333))",エーエム
80,53393263,"POLYGON ((139.2875 35.6333333333333, 139.3 35.6333333333333, 139.3 35.6416666666667, 139.2875 35.6416666666667, 139.2875 35.6333333333333))",セブンイ
81,53393264,"POLYGON ((139.3 35.6333333333333, 139.3125 35.6333333333333, 139.3125 35.6416666666667, 139.3 35.6416666666667, 139.3 35.6333333333333))",セブンイ
